fecha,real_t,predicho_t,particion,shock_test
2016-01,242.4,,buffer,False
2016-02,335.23,,buffer,False
2016-03,426.75,,buffer,False
2016-04,545.6,,buffer,False
2016-05,608.39,,buffer,False
2016-06,598.62,,buffer,False
2016-07,462.12,0.0,train,False
2016-08,350.02,135.92,train,False
2016-09,334.55,98.66,train,False
2016-10,259.93,65.47,train,False
2016-11,195.55,41.59,train,False
2016-12,135.7,26.43,train,False
2017-01,256.05,17.25,train,False
2017-02,361.82,11.96,train,False
2017-03,426.88,8.9,train,False
2017-04,585.09,7.13,train,False
2017-05,571.52,6.17,train,False
2017-06,630.73,5.61,train,False
2017-07,477.57,467.42,train,False
2017-08,390.49,360.74,train,False
2017-09,386.06,359.8,train,False
2017-10,334.08,291.59,train,False
2017-11,254.95,240.35,train,False
2017-12,199.1,171.94,train,False
2018-01,279.0,294.61,train,False
2018-02,379.91,376.89,train,False
2018-03,468.43,439.13,train,False
2018-04,616.06,610.96,train,False
2018-05,608.33,591.25,train,False
2018-06,605.63,653.85,train,False
2018-07,490.71,464.74,train,False
2018-08,414.13,399.87,train,False
2018-09,390.44,401.53,train,False
2018-10,311.92,338.37,train,False
2018-11,192.5,243.83,train,False
2018-12,164.9,164.58,train,False
2019-01,265.8,260.89,train,False
2019-02,370.13,373.99,train,False
2019-03,520.22,464.5,train,False
2019-04,614.86,647.88,train,False
2019-05,581.64,609.38,train,False
2019-06,523.8,591.88,train,False
2019-07,455.3,444.94,train,False
2019-08,362.82,395.31,train,False
2019-09,333.01,362.39,train,False
2019-10,300.25,280.32,train,False
2019-11,181.5,187.47,train,False
2019-12,166.3,160.26,train,False
2020-01,250.05,268.36,train,False
2020-02,361.09,362.73,train,False
2020-03,529.73,516.71,train,False
2020-04,560.59,622.13,train,False
2020-05,573.59,551.87,train,False
2020-06,541.17,520.87,train,False
2020-07,426.16,467.13,train,False
2020-08,334.82,347.64,train,False
2020-09,322.48,318.49,train,False
2020-10,291.56,295.88,train,False
2020-11,182.22,178.2,train,False
2020-12,180.68,168.46,train,False
2021-01,266.33,260.15,train,False
2021-02,379.86,372.29,train,False
2021-03,542.57,542.37,train,False
2021-04,600.29,569.79,train,False
2021-05,596.04,598.39,train,False
2021-06,537.03,555.95,train,False
2021-07,413.23,425.5,train,False
2021-08,353.32,329.06,train,False
2021-09,333.16,334.97,train,False
2021-10,283.82,299.51,train,False
2021-11,213.94,179.47,train,False
2021-12,205.93,200.84,train,False
2022-01,299.57,282.74,train,False
2022-02,408.91,400.91,train,False
2022-03,574.79,561.18,train,False
2022-04,636.74,620.75,train,False
2022-05,619.3,618.95,train,False
2022-06,552.96,552.28,train,False
2022-07,420.22,424.23,train,False
2022-08,349.54,359.12,train,False
2022-09,301.21,332.71,train,False
2022-10,284.08,267.01,train,False
2022-11,205.78,215.84,train,False
2022-12,223.69,202.94,train,False
2023-01,296.48,311.63,train,False
2023-02,420.54,408.86,train,False
2023-03,577.94,583.29,train,False
2023-04,663.15,640.31,train,False
2023-05,602.79,636.38,train,False
2023-06,567.44,545.12,train,False
2023-07,414.81,430.37,train,False
2023-08,328.31,348.14,train,False
2023-09,315.88,290.63,train,False
2023-10,259.77,294.34,train,False
2023-11,206.38,193.41,train,False
2023-12,224.3,225.78,train,False
2024-01,322.41,298.58,val,False
2024-02,444.66,423.5,val,False
2024-03,626.2,581.41,val,False
2024-04,675.8,666.91,val,False
2024-05,650.53,606.72,val,False
2024-06,616.33,571.46,val,False
2024-07,454.68,418.89,val,False
2024-08,382.1,332.43,val,False
2024-09,439.59,320.01,val,False
2024-10,294.14,263.92,val,False
2024-11,229.4,210.53,val,False
2024-12,243.65,228.46,val,False
2025-01,337.94,302.74,test,True
2025-02,474.59,427.66,test,True
2025-03,658.42,585.57,test,True
2025-04,730.43,671.07,test,False
2025-05,684.6,610.88,test,False
2025-06,655.17,575.63,test,False
2025-07,495.03,423.05,test,False
2025-08,415.32,336.59,test,False
2025-09,374.23,324.18,test,False
2025-10,302.72,268.08,test,False
2025-11,228.65,214.69,test,False
2025-12,256.5,232.62,test,False
